Scenario,Time_Step,Total_Population,Age_Class_1,Age_Class_2,Age_Class_3,Age_Class_4,Age_Class_5,Age_Class_6,Age_Class_7,Age_Class_8,Age_Class_9,Age_Class_10,Age_Class_11,Age_Class_12
No_Harvest,0,1000.0,120.0,110.0,100.0,95.0,90.0,85.0,80.0,75.0,70.0,65.0,60.0,50.0
No_Harvest,1,1064.3000000000015,176.10000000000034,110.40000000000016,103.40000000000032,93.99999999999999,89.30000000000031,84.6000000000002,79.90000000000009,75.20000000000006,70.49999999999986,65.8,61.100000000000236,54.00000000000011
No_Harvest,2,1121.1360000000032,177.4200000000005,162.01200000000046,103.77600000000048,97.19600000000025,88.36000000000035,83.94200000000055,79.52400000000029,75.1060000000002,70.6879999999999,66.26999999999998,61.852000000000146,54.990000000000265
No_Harvest,3,1173.8674000000053,177.7126400000007,163.22640000000064,152.29128000000074,97.5494400000004,91.3642400000006,83.05840000000055,78.90548000000062,74.75256000000043,70.59964000000001,66.44672000000004,62.29380000000013,55.66680000000038
No_Harvest,4,1222.3940104000071,177.3314512000011,163.49562880000084,153.43281600000097,143.1538032000006,91.69647360000076,85.88238560000082,78.0748960000006,74.17115120000078,70.26740640000023,66.36366160000014,62.45991680000018,56.064420000000226
No_Harvest,5,1267.40274034401,177.09795106400156,163.1449351040012,153.6858910720011,144.22684704000073,134.56457500800093,86.19468518400099,80.72944246400091,73.39040224000082,69.72088212800057,66.05136201600034,62.3818419040003,56.21392512000029
No_Harvest,6,1309.992898656653,177.51264504352207,162.93011497888165,153.35623899776152,144.46473760768097,135.5732362176011,126.49070050752117,81.0230040729611,75.88567591616115,68.9869781056006,65.53762920032068,62.08828029504051,56.14365771360045
No_Harvest,7,1358.4369672732287,185.85246489942978,163.3116334400405,153.15430808014912,144.15486465789564,135.79685335122045,127.4388420445453,118.90125847707006,76.16162382858366,71.33253536119128,64.84775941926468,61.60537144830164,55.879452265536536
No_Harvest,8,1421.7508616642879,203.5280617129757,170.98426770747562,153.5129354336385,143.96504959534002,135.50557277842233,127.64904215014757,119.79251152187275,111.7671829684461,71.59192639886842,67.05258323951989,60.956893854109,55.44483430347166
No_Harvest,9,1500.4656205369188,222.64679180617367,187.24581677593787,160.7252116450275,144.3021593076201,135.3271466196201,127.37523841171732,119.99009962113888,112.60496083056056,105.0611519903391,67.29641081493642,63.02942824514896,54.86120446869834
No_Harvest,10,1592.4023674673135,240.5083293291137,204.83504846168003,176.0110677693821,151.08169894632576,135.64402974916337,127.20751782244324,119.73272410701443,112.79069364387074,105.84866318072669,98.75748287091888,63.25862616604051,56.72648542063427
No_Harvest,11,1691.457426580096,255.26260908943897,221.26766298278488,192.54494555397974,165.45040370321905,142.01679700954676,127.50538796421395,119.57506675309682,112.54876066059379,106.02325202523826,99.49774338988323,92.83203389866398,56.93276354943668
No_Harvest,12,1792.0765801885568,264.4419304774702,234.84160036228403,207.99160320381824,180.9922488207408,155.5233794810264,133.49578918897433,119.85506468636123,112.40056274791125,105.79583502095791,99.6618569037241,93.52787878649046,83.54883050879779
No_Harvest,13,1865.4458405238092,268.459709585842,243.28657603927286,220.75110434054756,195.512107011589,170.13271389149688,146.19197671216523,125.48604183763608,112.66376080517989,105.65652898303632,99.4480849197006,93.68214548950094,84.17509090784164
No_Harvest,14,1938.7022944571947,273.4242698294798,246.98293281897506,228.689381476917,207.50603808011454,183.78138059089417,159.92475105800747,137.42045810943554,117.95687932737823,105.90393515686884,99.31713724405435,93.48119982451887,84.31393094055105
