Scenario,Time_Step,Total_Population,Age_Class_1,Age_Class_2,Age_Class_3,Age_Class_4,Age_Class_5,Age_Class_6,Age_Class_7,Age_Class_8
No_Harvest,0,760.0,120.0,110.0,100.0,95.0,160.0,110.0,45.0,20.0
No_Harvest,1,1062.7000000000016,415.0000000000009,110.39999999999978,103.40000000000052,94.00000000000026,76.00000000000009,120.00000000000026,103.40000000000005,40.499999999999936
No_Harvest,2,1277.9370000000044,357.10500000000167,381.8000000000007,103.77600000000032,97.19600000000096,75.20000000000037,57.00000000000033,112.80000000000028,93.05999999999992
No_Harvest,3,1420.9913400000084,346.7565000000026,328.53660000000133,358.89200000000153,97.54944000000069,77.75680000000087,56.400000000000524,53.580000000000325,101.52000000000046
No_Harvest,4,1544.005972000012,341.21195600000385,319.0159800000023,308.82440400000206,337.3584800000017,78.03955200000043,58.31760000000089,53.01600000000059,48.22200000000031
No_Harvest,5,1699.129825480017,364.09547300000446,313.91499952000356,299.87502120000306,290.2949397600021,269.8867840000015,58.52966400000066,54.818544000001026,47.71440000000064
No_Harvest,6,2097.296986916823,646.3609187120067,334.9678351600038,295.08009954880436,281.8825199280033,232.23595180800172,202.4150880000016,55.01788416000069,49.33668960000101
No_Harvest,7,2575.7240754170234,749.3577133132887,594.6520452150461,314.86976505040496,277.375293575877,225.50601594240285,174.1769638560019,190.27018272000169,49.51609574400058
No_Harvest,8,3095.652991812517,825.2941366246171,689.4090962482258,558.9729225021449,295.97757914738145,221.90023486070177,169.12951195680276,163.72634602464183,171.24316444800166
No_Harvest,9,3512.957346097487,870.6649506524841,759.2706056946475,648.0445504733337,525.434547152017,236.7820633179051,166.4251761455269,158.98174123939475,147.35371142217778
No_Harvest,10,3964.5227361189563,943.177316818471,801.0117546002853,713.7143693529707,609.1618774449346,420.34763772161386,177.58654748842957,156.43966557679562,143.08356711545545
No_Harvest,11,4661.307919217272,1259.424947322815,867.7231314729929,752.9510493242705,670.8915071917935,487.3295019559478,315.26072829121136,166.9313546391241,140.79569901911623
No_Harvest,12,5573.895485776686,1542.9971683009167,1158.6709515369892,815.6597435846164,707.7739863648159,536.7132057534352,365.497126466962,296.34508459373893,150.2382191752118
No_Harvest,13,6660.20089193911,1805.7406752677123,1419.557394836843,1089.1506944447733,766.7201589695409,566.219189091853,402.53490431507765,343.5672988789446,266.7105761343653
No_Harvest,14,7768.75376169201,2023.6528384792418,1661.281421246295,1334.383951146636,1023.8016527780887,613.3761271756333,424.66439181889126,378.3828100561734,309.2105689910504
No_Harvest,15,8953.970669755417,2257.48213334064,1861.7606114009022,1561.604535971522,1254.32091407784,819.0413222224715,460.03209538172666,399.1845283097584,340.54452905055643
No_Harvest,16,10426.907251297478,2722.626482027272,2076.8835626733876,1750.0549747168532,1467.9082638132327,1003.4567312622725,614.2809916668556,432.43016965882356,359.26607547878285
No_Harvest,17,12281.177429678288,3285.508396709283,2504.816363465089,1952.2705489129914,1645.0516762338448,1174.3266110505867,752.5925484467066,577.424132166845,389.18715269294154
No_Harvest,18,14539.534679447046,3903.300243074017,3022.667724972539,2354.527381657191,1835.134315978215,1316.0413409870769,880.7449582879427,707.4369955399052,519.6817189501609
No_Harvest,19,17082.816087550513,4517.484448390993,3591.036223628095,2841.307661474196,2213.255738757764,1468.1074527825726,987.0310057403108,827.9002607906673,636.6932959859153
No_Harvest,20,19912.16470665476,5165.07120143824,4156.085692519713,3375.57405021042,2670.8292017857484,1770.6045910062119,1101.0805895869337,927.8091453958931,745.1102347116013
No_Harvest,21,23220.548280323965,6054.261827083155,4751.86550532318,3906.7205509685414,3173.0396071977984,2136.6633614285993,1327.9534432546636,1035.0157542117188,835.0282308563047
No_Harvest,22,27205.709865889527,7175.998469779156,5569.920880916501,4466.753575003802,3672.3173179104356,2538.431685758241,1602.4975210714551,1248.2762366593856,931.5141787905479
No_Harvest,23,32009.824147428928,8501.957665219341,6601.918592196822,5235.725628061528,4198.748360503583,2937.8538543283494,1903.8237643186867,1506.3476698071697,1123.4486129934483
No_Harvest,24,37617.347224454585,9960.464284974765,7821.80105200179,6205.803476665031,4921.582090377845,3358.9986884028685,2203.39039074627,1789.5943384595678,1355.7129028264535
No_Harvest,25,44046.269979170844,11558.358019527675,9163.627142176781,7352.492988881704,5833.455268065138,3937.265672302277,2519.2490163021585,2071.1869673014958,1610.6349046136122
No_Harvest,26,51498.21757221503,13487.499456480344,10633.689377965462,8613.8095136462,6911.343409548814,4666.764214452113,2952.9492542267185,2368.094075324033,1864.0682705713482
No_Harvest,27,60282.29235342341,15844.939040103582,12408.499499961914,9995.668015287563,8096.980942827444,5529.074727639054,3500.0731608390975,2775.772298973119,2131.284667791632
No_Harvest,28,70722.26696436366,18672.35094287799,14577.34391689529,11663.989529964236,9395.927934370326,6477.584754261956,4146.806045729304,3290.068771188755,2498.1950690758085
No_Harvest,29,83012.79440266368,21933.38760491975,17178.562867447745,13702.703281881613,10964.150158166398,7516.742347496265,4858.188565696484,3897.99768298555,2961.0618940698823
No_Harvest,30,97321.63634484046,25630.75751434756,20178.716596526167,16147.849095400938,12880.541084968741,8771.320126533128,5637.556760622219,4566.697251754702,3508.197914687
No_Harvest,31,113968.29654610185,29948.77403805153,23580.29691319975,18967.99360073466,15178.978149676906,10304.432867974998,6578.490094899866,5299.303354984893,4110.027526579235
No_Harvest,32,133456.97512693363,35084.04904941269,27552.8721150074,22165.479098407824,17829.91398469061,12143.182519741531,7728.324650981273,6183.780689205882,4769.373019486406
No_Harvest,33,156414.6650941344,41200.74395829793,32277.32512545967,25899.69978810704,20835.550352503393,14263.931187752496,9107.386889806177,7264.6251719224065,5565.402620285299
No_Harvest,34,183429.99526354932,48373.41239919728,37904.68444163408,30340.68561793218,24345.717800820657,16668.440282002724,10697.948390814407,8560.943676417817,6538.162654730173
No_Harvest,35,215065.94567697006,56672.933165415925,44503.53940726148,35630.40337513614,28520.24448085629,19476.574240656533,12501.330211502087,10056.071487365554,7704.849308776044
No_Harvest,36,252021.26508449583,66330.91935424069,52139.098512182645,41833.32704282594,33492.57917262805,22816.19558468506,14607.430680492453,11751.250398811975,9050.464338629008
No_Harvest,37,295249.63566497876,77677.78961215903,61024.445805901414,49010.752601451844,39323.32742025644,26794.063338102453,17112.146688513847,13730.984839662922,10576.125358930787
No_Harvest,38,345972.57584256947,91078.40921378911,71463.56644318628,57362.97905754749,46070.107445364796,31458.66193620517,20095.547503576905,16085.417887203032,12357.886355696637
No_Harvest,39,405546.15897820634,106840.29657053947,83792.13647668596,67175.75245659532,53921.200314094734,36856.08595629187,23593.99645215396,18889.814653362304,14476.876098482744
No_Harvest,40,475410.38218521944,125249.27917149279,98293.07284489628,78764.60828808504,63145.20730919971,43136.960251275814,27642.064467218985,22178.356665024745,17000.833188026096
No_Harvest,41,557207.3193802496,146730.81464394848,115229.33683777331,92395.48847420281,74038.73179080006,50516.165847359785,32352.720188456966,25983.540599185875,19960.52099852229
No_Harvest,42,652955.7475664322,171881.20896616468,134992.3494724326,108315.57662750728,86851.75916575079,59230.98543264009,37887.124385519965,30411.55697714959,23385.186539267313
