Scenario,Time_Step,Total_Population,Age_Class_1,Age_Class_2
No_Harvest,0,270.0,130.0,140.0
No_Harvest,1,167.1,47.499999999999986,119.60000000000001
No_Harvest,2,74.74499999999999,31.044999999999995,43.699999999999996
No_Harvest,3,41.958149999999996,13.396749999999995,28.561400000000003
No_Harvest,4,20.0468025,7.7217924999999985,12.325009999999999
No_Harvest,5,10.727319974999999,3.623270874999999,7.1040491
No_Harvest,6,5.2977096562499995,1.9643004512499997,3.333409205
No_Harvest,7,2.7684833238374993,0.9613269086874997,1.8071564151499997
No_Harvest,8,1.3900510753256246,0.5056303193331249,0.8844207559924998
No_Harvest,9,0.7179085928849434,0.25272869909846857,0.46517989378647484
No_Harvest,10,0.36345568679265644,0.13094528362206526,0.23251040317059118
No_Harvest,11,0.18661353410972803,0.066143873177428,0.12046966093230004
No_Harvest,12,0.09486787648630801,0.03401551316307421,0.060852363323233793
No_Harvest,13,0.04856707174913616,0.017272799639107887,0.031294272110028276
No_Harvest,14,0.024740750035851092,0.008849774367871837,0.015890975667979257
No_Harvest,15,0.012647453707218717,0.004505661288776626,0.00814179241844209
No_Harvest,16,0.006449416062679409,0.002304207677004912,0.004145208385674497
No_Harvest,17,0.003294543891530155,0.0011746728286856358,0.002119871062844519
No_Harvest,18,0.0016808741392625344,0.0006001751368717491,0.0010806990023907853
No_Harvest,19,0.0008583271969309285,0.0003061660710089193,0.0005521611259220092
No_Harvest,20,0.0004380299211639456,0.00015635713583573974,0.00028167278532820585
No_Harvest,21,0.00022363669240988267,7.978812744100212e-05,0.00014384856496888057
No_Harvest,22,0.0001141430093556484,4.073793210992643e-05,7.340507724572196e-05
No_Harvest,23,5.8270602806765654e-05,2.079170526563335e-05,3.747889754113231e-05
No_Harvest,24,2.974290414245415e-05,1.0614535298071464e-05,1.9128368844382687e-05
No_Harvest,25,1.5183226537813004e-05,5.417854063587256e-06,9.765372474225747e-06
No_Harvest,26,7.750178342883513e-06,2.7657526043832374e-06,4.9844257385002755e-06
No_Harvest,27,3.956240434390119e-06,1.4117480383575406e-06,2.544492396032579e-06
No_Harvest,28,2.0194688802490845e-06,7.206606849601468e-07,1.2988081952889377e-06
No_Harvest,29,1.0308685719651445e-06,3.6786074180180944e-07,6.63007830163335e-07
No_Harvest,30,5.262125597606033e-07,1.8778067730293845e-07,3.384318824576648e-07
No_Harvest,31,2.6861170120567707e-07,9.58534780869737e-08,1.7275822311870336e-07
No_Harvest,32,1.3711486617680255e-07,4.892966633678673e-08,8.818519984001582e-08
No_Harvest,33,6.999178294836495e-08,2.4976489918521167e-08,4.501529302984379e-08
No_Harvest,34,3.572790281878641e-08,1.2749532093746931e-08,2.2978370725039478e-08
No_Harvest,35,1.8237673485317112e-08,6.508103959069934e-09,1.1729569526247179e-08
No_Harvest,36,9.309585141454266e-09,3.3221294991099254e-09,5.987455642344341e-09
No_Harvest,37,4.752169692516488e-09,1.6958105533353566e-09,3.0563591391811316e-09
No_Harvest,38,2.4257891199050582e-09,8.656434108365297e-10,1.5601457090685284e-09
No_Harvest,39,1.2382675914087923e-09,4.4187565343918495e-10,7.963919379696073e-10
No_Harvest,40,6.320853367738496e-10,2.2555973560979923e-10,4.065256011640503e-10
Sustainable_Uniform,0,270.0,130.0,140.0
Sustainable_Uniform,1,167.10000000000002,47.5,119.60000000000001
Sustainable_Uniform,2,74.745,31.045,43.7
Sustainable_Uniform,3,41.95815,13.39675,28.561400000000003
Sustainable_Uniform,4,20.046802500000002,7.721792500000001,12.32501
Sustainable_Uniform,5,10.727319975,3.6232708750000002,7.104049100000001
Sustainable_Uniform,6,5.29770965625,1.9643004512500004,3.333409205
Sustainable_Uniform,7,2.7684833238375006,0.9613269086875001,1.8071564151500004
Sustainable_Uniform,8,1.3900510753256252,0.5056303193331251,0.8844207559925001
Sustainable_Uniform,9,0.7179085928849439,0.2527286990984688,0.4651798937864751
Sustainable_Uniform,10,0.3634556867926566,0.13094528362206534,0.2325104031705913
Sustainable_Uniform,11,0.1866135341097282,0.06614387317742806,0.12046966093230012
Sustainable_Uniform,12,0.09486787648630807,0.03401551316307424,0.06085236332323382
Sustainable_Uniform,13,0.0485670717491362,0.0172727996391079,0.031294272110028304
Sustainable_Uniform,14,0.024740750035851116,0.008849774367871845,0.01589097566797927
Sustainable_Uniform,15,0.012647453707218731,0.004505661288776631,0.008141792418442099
Sustainable_Uniform,16,0.006449416062679416,0.0023042076770049148,0.004145208385674501
Sustainable_Uniform,17,0.003294543891530159,0.0011746728286856373,0.002119871062844522
Sustainable_Uniform,18,0.0016808741392625366,0.00060017513687175,0.0010806990023907864
Sustainable_Uniform,19,0.0008583271969309298,0.0003061660710089198,0.00055216112592201
Sustainable_Uniform,20,0.0004380299211639462,0.00015635713583574,0.00028167278532820623
Sustainable_Uniform,21,0.00022363669240988305,7.978812744100225e-05,0.00014384856496888078
Sustainable_Uniform,22,0.00011414300935564856,4.0737932109926495e-05,7.340507724572207e-05
Sustainable_Uniform,23,5.827060280676576e-05,2.079170526563339e-05,3.7478897541132375e-05
Sustainable_Uniform,24,2.9742904142454205e-05,1.0614535298071484e-05,1.912836884438272e-05
Sustainable_Uniform,25,1.5183226537813035e-05,5.417854063587268e-06,9.765372474225766e-06
Sustainable_Uniform,26,7.75017834288353e-06,2.7657526043832433e-06,4.9844257385002865e-06
Sustainable_Uniform,27,3.9562404343901275e-06,1.411748038357544e-06,2.544492396032584e-06
Sustainable_Uniform,28,2.0194688802490888e-06,7.206606849601484e-07,1.2988081952889404e-06
Sustainable_Uniform,29,1.030868571965147e-06,3.6786074180181034e-07,6.630078301633366e-07
Sustainable_Uniform,30,5.262125597606043e-07,1.8778067730293887e-07,3.384318824576655e-07
Sustainable_Uniform,31,2.686117012056777e-07,9.585347808697393e-08,1.7275822311870376e-07
Sustainable_Uniform,32,1.3711486617680287e-07,4.892966633678684e-08,8.818519984001602e-08
Sustainable_Uniform,33,6.999178294836513e-08,2.497648991852123e-08,4.5015293029843896e-08
Sustainable_Uniform,34,3.572790281878649e-08,1.2749532093746964e-08,2.297837072503953e-08
Sustainable_Uniform,35,1.823767348531716e-08,6.508103959069951e-09,1.1729569526247208e-08
Sustainable_Uniform,36,9.309585141454289e-09,3.3221294991099345e-09,5.9874556423443555e-09
Sustainable_Uniform,37,4.752169692516502e-09,1.6958105533353613e-09,3.05635913918114e-09
Sustainable_Uniform,38,2.425789119905065e-09,8.656434108365322e-10,1.5601457090685325e-09
Sustainable_Uniform,39,1.238267591408796e-09,4.4187565343918635e-10,7.963919379696096e-10
Sustainable_Uniform,40,6.320853367738513e-10,2.2555973560979988e-10,4.0652560116405145e-10
Over_Harvest,0,270.0,130.0,140.0
Over_Harvest,1,133.68,38.0,95.68
Over_Harvest,2,47.83680000000001,19.868800000000004,27.968000000000004
Over_Harvest,3,21.482572800000007,6.859136000000001,14.623436800000006
Over_Harvest,4,8.211170304000003,3.1628462080000013,5.048324096000002
Over_Harvest,5,3.515128209408002,1.1872734003200005,2.3278548090880014
Over_Harvest,6,1.388762800128001,0.5149295774924804,0.8738332226355205
Over_Harvest,7,0.5805930339552465,0.20160486492078095,0.3789881690344656
Over_Harvest,8,0.233211871417703,0.08483069083600822,0.14838118058169478
Over_Harvest,9,0.09635606024869421,0.03392067179339216,0.062435388455302054
Over_Harvest,10,0.03902575720799202,0.014060142768055388,0.02496561443993663
Over_Harvest,11,0.016029980519845274,0.0056817154425565074,0.010348265077288766
Over_Harvest,12,0.006519270831194574,0.0023375282654729836,0.00418174256572159
Over_Harvest,13,0.0026700030057603286,0.0009495822023722124,0.001720420803388116
Over_Harvest,14,0.0010881096937727125,0.00038921719282676413,0.0006988925009459484
Over_Harvest,15,0.0004449927172110619,0.00015852886329056345,0.0002864638539204984
Over_Harvest,16,0.00018153492360400205,6.485768022214736e-05,0.0001166772433818547
Over_Harvest,17,7.41865332112549e-05,2.645128056775444e-05,4.773525264350046e-05
Over_Harvest,18,3.0279936588957878e-05,1.0811794091090608e-05,1.946814249786727e-05
Over_Harvest,19,1.2369798541632327e-05,4.412318090589637e-06,7.95748045104269e-06
Over_Harvest,20,5.05014115771156e-06,1.8026750430375868e-06,3.2474661146739726e-06
Over_Harvest,21,2.06268441518801e-06,7.35915583512346e-07,1.326768831675664e-06
Over_Harvest,22,8.422267525546745e-07,3.0059288308958776e-07,5.416338694650867e-07
Over_Harvest,23,3.4396892703910105e-07,1.2273256508516443e-07,2.2123636195393663e-07
Over_Harvest,24,1.4045689362553064e-07,5.0125725722849596e-08,9.033116790268103e-08
Over_Harvest,25,5.7360608083188225e-08,2.046807395117092e-08,3.6892534132017306e-08
Over_Harvest,26,2.342347676332508e-08,8.35897433526328e-09,1.5064502428061798e-08
Over_Harvest,27,9.565602419475256e-09,3.413397308721481e-09,6.152205110753774e-09
Over_Harvest,28,3.906220913986192e-09,1.3939604947671818e-09,2.5122604192190104e-09
Over_Harvest,29,1.5951918505957495e-09,5.692369264471035e-10,1.025954924148646e-09
Over_Harvest,30,6.51419596902504e-10,2.324612190374358e-10,4.1895837786506823e-10
Over_Harvest,31,2.66020143954456e-10,9.492868674290322e-11,1.7109145721155277e-10
Over_Harvest,32,1.086335890057736e-10,3.8766075562996833e-11,6.986751344277677e-11
Over_Harvest,33,4.436256283276958e-11,1.5830731218403907e-11,2.8531831614365673e-11
Over_Harvest,34,1.8116198981252256e-11,6.4647808045069775e-12,1.1651418176745277e-11
Over_Harvest,35,7.398079276937217e-12,2.640000604820082e-12,4.758078672117136e-12
Over_Harvest,36,3.021133105264732e-12,1.0780926601171516e-12,1.9430404451475804e-12
Over_Harvest,37,1.2337337882838948e-12,4.402575904376711e-13,7.934761978462236e-13
Over_Harvest,38,5.038166890700423e-13,1.7978710250791632e-13,3.2402958656212597e-13
Over_Harvest,39,2.0574249359671654e-13,7.341918615089012e-14,1.3232330744582642e-13
Over_Harvest,40,8.401855253649417e-14,2.998203152943904e-14,5.403652100705513e-14
