Scenario,Time_Step,Total_Population,Age_Class_1,Age_Class_2,Age_Class_3,Age_Class_4,Age_Class_5,Age_Class_6
No_Harvest,0,695.0,120.0,110.0,100.0,95.0,160.0,110.0
No_Harvest,1,895.550000000001,391.75000000000034,110.4000000000002,103.4000000000003,94.00000000000021,76.00000000000006,119.99999999999991
No_Harvest,2,995.7570000000019,302.17500000000047,360.4100000000003,103.77600000000044,97.19600000000051,75.20000000000032,57.00000000000003
No_Harvest,3,1121.828640000004,273.3360000000015,278.00100000000054,338.7854000000005,97.54944000000052,77.75680000000075,56.40000000000038
No_Harvest,4,1252.5453940000066,284.9399060000026,251.46912000000148,261.3209400000006,318.4582760000006,78.03955200000055,58.3176000000007
No_Harvest,5,1367.1240167200092,309.6603620000029,262.14471352000265,236.38097280000162,245.64168360000076,254.76662080000068,58.52966400000057
No_Harvest,6,1706.6887125088122,565.5987218480032,284.8875330400031,246.41603070880282,222.19811443200192,196.51334688000077,191.07496560000047
No_Harvest,7,1968.921487466128,624.0018117364838,520.3508241001632,267.79428105760337,231.63106886627511,177.7584915456018,147.3850101600006
No_Harvest,8,2234.8229290848676,601.2611396867788,574.0816667975653,489.12977465415383,251.72662419414743,185.30485509302056,133.31886865920146
No_Harvest,9,2523.7935436672014,630.854599515664,553.1602485118369,539.6367667897116,459.7819881749048,201.38129935531845,138.97864131976564
No_Harvest,10,2822.620189348598,696.1431983543173,580.3862315544111,519.970633601127,507.25856078232937,367.8255905399244,151.03597451648906
No_Harvest,11,3328.892102183771,972.4288649207839,640.4517424859725,545.5630576611472,488.77239558506005,405.8068486258639,275.86919290494336
No_Harvest,12,3883.036880324957,1178.1753595220948,894.6345557271216,602.024637936815,512.829274201479,391.01791646804844,304.35513646939796
No_Harvest,13,4443.893901276365,1249.5860717597147,1083.9213307603275,840.9564823834951,565.9031596606068,410.26341936118405,293.26343735103666
No_Harvest,14,5055.284574258681,1335.860151635173,1149.6191860189379,1018.8860509147086,790.4990934404861,452.7225277284862,307.6975645208883
No_Harvest,15,5721.831394606177,1482.503961835434,1228.9913395043598,1080.6420348578024,957.752887859827,632.3992747523897,339.5418957963651
No_Harvest,16,6613.97363526046,1838.512852119269,1363.9036448886,1155.2518591340995,1015.8035127663355,766.2023102878626,474.2994560642928
No_Harvest,17,7679.238061323274,2232.5055206632387,1691.4318239497284,1282.069426195286,1085.936747586055,812.6428102130694,574.6517327158973
No_Harvest,18,8831.44131505528,2504.213555180136,2053.9050790101805,1589.945914512746,1205.1452606235703,868.7493980688454,609.4821076598025
No_Harvest,19,10094.706153639218,2749.9314919114468,2303.8764707657265,1930.670774269571,1494.5491596419827,964.1162084988578,651.5620485516346
No_Harvest,20,11499.54209460347,3070.404227624023,2529.936972558532,2165.6438825197847,1814.8305278133985,1195.6393277135883,723.087156374144
